review_id,brand,product,username,rating,tanggal,review,review_length
RVW_00001,HMNS,Philea,J***a,5,3 bulan lalu,"Wanginya pas buat saya..elegant, ringan, seger..box kemasannya keren, botolnya juga simple elwgant, keren..gak nyangka aja ownernya alumni ITB..😄",145
RVW_00002,HMNS,Philea,Z***f,5,10 bulan lalu,Fix ini parfum hmns terbaik terenak terdebes. Bagi penyuka Citrus sih bakal SUKA BGTTTT. Tapi klo ga gitu suka wangi jejerukan bakal gasuka wkwk. Ketahanannya bisa 6 jam di baju duh cinta. Packagingnya juga gemes bgt. Makasih ya udh nyiptain iniii,247
RVW_00003,HMNS,Philea,F***m,5,7 bulan lalu,"produk sesuai deskripsi, produk berkualitas, harga bersaing, pengemasan baik, pengiriman baik",93
RVW_00004,HMNS,Philea,Q***z,5,3 minggu lalu,"pengiriman aman dan cepat, belanja dapet harga oke dan pastinya di jamin ori berawal dari nyobain bodymist nya dan suka banget aroma segarnya yang ringan dan nyari tau untuk produk parfum dan langsung pesan ternyata aroma nya beda tipis tipis aja untuk ketahanan belom cobain",275
RVW_00005,HMNS,Philea,shabrina,5,10 bulan lalu,"packing aman banget, wangi ny bener2 se enakk itu, apa lagi pas udh dry done nya🥹🥹🥹, the besttt pwwollllll",106
RVW_00006,HMNS,Philea,M***u,5,1 bulan lalu,pertama kali beli philea langsung sukaaa dan jatuh cintaaaaa😍😍 Kualitas produk: wangi enak ga enek,98
RVW_00007,HMNS,Philea,B***w,5,1 bulan lalu,Kualitas produk: sukaa wanginyaa mantep wanginya,48
RVW_00008,HMNS,Philea,V***c,5,7 bulan lalu,"Kualitas produk: Bagus bangeettttt 💯 Udah cobain yg Elea skrg cobain yg Philea nya, double combo happy nyaaaa 💃🏻💃🏻💃🏻💕💕💕💕 Terimakasih all tim dan ka tsana , aku sukak produknya🙏🏻🤗",178
RVW_00009,HMNS,Philea,Y***q,5,4 bulan lalu,"Kualitas produk: Wangii Suka bangettt, pengiriman aman, packaging jg rapih, wanginya perpaduan elea dan philea, agak strong tp sukaaa 🫶🏻",136
RVW_00010,HMNS,Philea,O***b,5,3 minggu lalu,OH MY GOD BEST BANGET WANGINYAA👍🏼 karakter wanginya perempuan yang cantik banget tapi tetep kalem wanginya nyaman di hidung😭😭 best blind buy deh pokoknyaa👍🏼,156
